time,ADP,ATP,CO2,NADH,acetate,alanine,alpha_ketoglutarate,ethanol,glucose,glutamate,glycerol,host_nucleotides,host_proteins,lactate,mannan_polysaccharide,polysaccharide_lps,pyruvate,viral_capsid,viral_particle_with_spike,viral_rna,viral_spike_protein
3.7,0.0,4.054779772338934,9.434520422667111,0,0,0,0.0,5.379740650328173,0,0,1.6729279289470274,0.0,0.0,0.0,3.033612876356767,1.3383423431576216,0,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,4.014231974615544,9.34017521844044,0,0,0,0.0,5.325943243824891,0,0,1.6561986496575571,0.0,0.0,0.0,3.0032767475931994,1.3249589197260454,0,0.0,0.0,0.0,0.0
3.9000000000000004,0.0,3.9740896548693887,9.246773466256036,0,0,0,0.0,5.272683811386641,0,0,1.6396366631609816,0.0,0.0,0.0,2.9732439801172674,1.311709330528785,0,0.0,0.0,0.0,0.0
4.0,0.0,3.9343487583206946,9.154305731593475,0,0,0,0.0,5.219956973272775,0,0,1.6232402965293717,0.0,0.0,0.0,2.9435115403160945,1.2985922372234973,0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,3.895005270737488,9.06276267427754,0,0,0,0.0,5.1677574035400475,0,0,1.607007893564078,0.0,0.0,0.0,2.9140764249129334,1.2856063148512622,0,0.0,0.0,0.0,0.0
4.2,0.0,3.856055218030113,8.972135047534763,0,0,0,0.0,5.116079829504647,0,0,1.5909378146284372,0.0,0.0,0.0,2.884935660663804,1.2727502517027496,0,0.0,0.0,0.0,0.0
4.3,0.0,3.817494665849812,8.882413697059416,0,0,0,0.0,5.064919031209601,0,0,1.5750284364821527,0.0,0.0,0.0,2.856086304057166,1.260022749185722,0,0.0,0.0,0.0,0.0
4.4,0.0,3.779319719191314,8.793589560088822,0,0,0,0.0,5.014269840897505,0,0,1.5592781521173311,0.0,0.0,0.0,2.8275254410165944,1.2474225216938648,0,0.0,0.0,0.0,0.0
4.5,0.0,3.741526521999401,8.705653664487935,0,0,0,0.0,4.96412714248853,0,0,1.5436853705961577,0.0,0.0,0.0,2.7992501866064283,1.234948296476926,0,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,3.704111256779407,8.618597127843055,0,0,0,0.0,4.914485871063644,0,0,1.5282485168901963,0.0,0.0,0.0,2.771257684740364,1.2225988135121568,0,0.0,0.0,0.0,0.0
4.7,0.0,3.6670701442116127,8.532411156564624,0,0,0,0.0,4.865341012353007,0,0,1.5129660317212943,0.0,0.0,0.0,2.74354510789296,1.2103728253770352,0,0.0,0.0,0.0,0.0
4.800000000000001,0.0,3.6303994427694963,8.447087044998979,0,0,0,0.0,4.816687602229477,0,0,1.4978363714040814,0.0,0.0,0.0,2.7161096568140306,1.1982690971232648,0,0.0,0.0,0.0,0.0
4.9,0.0,3.5940954483418013,8.36261617454899,0,0,0,0.0,4.768520726207182,0,0,1.4828580076900406,0.0,0.0,0.0,2.6889485602458905,1.1862864061520322,0,0.0,0.0,0.0,0.0
5.0,0.0,3.558154493858383,8.278990012803499,0,0,0,0.0,4.72083551894511,0,0,1.4680294276131403,0.0,0.0,0.0,2.6620590746434316,1.1744235420905118,0,0.0,0.0,0.0,0.0
5.1000000000000005,0.0,3.5225729489197994,8.196200112675465,0,0,0,0.0,4.673627163755659,0,0,1.4533491333370088,0.0,0.0,0.0,2.6354384838969973,1.1626793066696066,0,0.0,0.0,0.0,0.0
5.2,0.0,3.4873472194306014,8.11423811154871,0,0,0,0.0,4.626890892118102,0,0,1.4388156420036387,0.0,0.0,0.0,2.6090840990580273,1.1510525136029106,0,0.0,0.0,0.0,0.0
5.300000000000001,0.0,3.4524737472362954,8.033095730433223,0,0,0,0.0,4.58062198319692,0,0,1.4244274855836023,0.0,0.0,0.0,2.582993258067447,1.1395419884668816,0,0.0,0.0,0.0,0.0
5.4,0.0,3.4179490097639325,7.95276477312889,0,0,0,0.0,4.534815763364951,0,0,1.4101832107277663,0.0,0.0,0.0,2.5571633254867727,1.1281465685822127,0,0.0,0.0,0.0,0.0
5.5,0.0,3.383769519666293,7.873237125397601,0,0,0,0.0,4.489467605731301,0,0,1.3960813786204886,0.0,0.0,0.0,2.531591692231905,1.1168651028963905,0,0.0,0.0,0.0,0.0
5.6000000000000005,0.0,3.34993182446963,7.794504754143625,0,0,0,0.0,4.4445729296739875,0,0,1.3821205648342838,0.0,0.0,0.0,2.506275775309586,1.1056964518674266,0,0.0,0.0,0.0,0.0
5.7,0.0,3.316432506224934,7.7165597066021885,0,0,0,0.0,4.400127200377248,0,0,1.368299359185941,0.0,0.0,0.0,2.48121301755649,1.0946394873487524,0,0.0,0.0,0.0,0.0
5.800000000000001,0.0,3.2832681811626845,7.639394109536166,0,0,0,0.0,4.3561259283734755,0,0,1.3546163655940815,0.0,0.0,0.0,2.456400887380925,1.0836930924752648,0,0.0,0.0,0.0,0.0
5.9,0.0,3.250435499351058,7.563000168440804,0,0,0,0.0,4.312564669089741,0,0,1.3410702019381406,0.0,0.0,0.0,2.431836878507116,1.072856161550512,0,0.0,0.0,0.0,0.0
6.0,0.0,3.2179311443575473,7.487370166756396,0,0,0,0.0,4.269439022398844,0,0,1.3276594999187592,0.0,0.0,0.0,2.407518509722045,1.062127599935007,0,0.0,0.0,0.0,0.0
6.1000000000000005,0.0,3.185751832913972,7.412496465088831,0,0,0,0.0,4.226744632174856,0,0,1.3143829049195717,0.0,0.0,0.0,2.3834433246248246,1.051506323935657,0,0.0,0.0,0.0,0.0
6.2,0.0,3.153894314584832,7.338371500437943,0,0,0,0.0,4.184477185853107,0,0,1.301239075870376,0.0,0.0,0.0,2.3596088913785764,1.0409912606963005,0,0.0,0.0,0.0,0.0
6.300000000000001,0.0,3.122355371438984,7.264987785433563,0,0,0,0.0,4.142632413994576,0,0,1.2882266851116722,0.0,0.0,0.0,2.336012802464791,1.0305813480893375,0,0.0,0.0,0.0,0.0
6.4,0.0,3.091131817724594,7.192337907579227,0,0,0,0.0,4.101206089854631,0,0,1.2753444182605553,0.0,0.0,0.0,2.3126526744401428,1.0202755346084442,0,0.0,0.0,0.0,0.0
6.5,0.0,3.060220499547348,7.120414528503435,0,0,0,0.0,4.060194028956085,0,0,1.2625909740779497,0.0,0.0,0.0,2.2895261476957414,1.0100727792623598,0,0.0,0.0,0.0,0.0
6.6000000000000005,0.0,3.0296182945518746,7.0492103832184005,0,0,0,0.0,4.019592088666524,0,0,1.2499650643371703,0.0,0.0,0.0,2.266630886218784,0.9999720514697362,0,0.0,0.0,0.0,0.0
6.7,0.0,2.999322111606356,6.978718279386216,0,0,0,0.0,3.979396167779859,0,0,1.2374654136937986,0.0,0.0,0.0,2.243964577356596,0.9899723309550389,0,0.0,0.0,0.0,0.0
6.800000000000001,0.0,2.9693288904902926,6.908931096592354,0,0,0,0.0,3.93960220610206,0,0,1.2250907595568605,0.0,0.0,0.0,2.22152493158303,0.9800726076454885,0,0.0,0.0,0.0,0.0
6.9,0.0,2.9396356015853895,6.83984178562643,0,0,0,0.0,3.9002061840410396,0,0,1.212839851961292,0.0,0.0,0.0,2.1993096822671996,0.9702718815690337,0,0.0,0.0,0.0,0.0
7.0,0.0,2.9102392455695356,6.771443367770166,0,0,0,0.0,3.861204122200629,0,0,1.200711453441679,0.0,0.0,0.0,2.1773165854445278,0.9605691627533434,0,0.0,0.0,0.0,0.0
7.1000000000000005,0.0,2.88113685311384,6.703728934092465,0,0,0,0.0,3.8225920809786227,0,0,1.1887043389072622,0.0,0.0,0.0,2.1555434195900824,0.9509634711258099,0,0.0,0.0,0.0,0.0
7.2,0.0,2.8523254845827015,6.63669164475154,0,0,0,0.0,3.7843661601688363,0,0,1.1768172955181897,0.0,0.0,0.0,2.1339879853941817,0.9414538364145518,0,0.0,0.0,0.0,0.0
7.300000000000001,0.0,2.8238022297368746,6.5703247283040245,0,0,0,0.0,3.7465224985671477,0,0,1.1650491225630077,0.0,0.0,0.0,2.1126481055402397,0.9320392980504063,0,0.0,0.0,0.0,0.0
7.4,0.0,2.7955642074395057,6.504621481020984,0,0,0,0.0,3.709057273581476,0,0,1.1533986313373776,0.0,0.0,0.0,2.0915216244848374,0.9227189050699023,0,0.0,0.0,0.0,0.0
7.5,0.0,2.767608565365111,6.439575266210774,0,0,0,0.0,3.6719667008456613,0,0,1.1418646450240038,0.0,0.0,0.0,2.070606408239989,0.9134917160192032,0,0.0,0.0,0.0,0.0
7.6000000000000005,0.0,2.7399324797114595,6.375179513548666,0,0,0,0.0,3.6352470338372047,0,0,1.1304459985737636,0.0,0.0,0.0,2.049900344157589,0.9043567988590112,0,0.0,0.0,0.0,0.0
7.7,0.0,2.712533154914345,6.311427718413179,0,0,0,0.0,3.5988945634988325,0,0,1.119141538588026,0.0,0.0,0.0,2.029401340716013,0.8953132308704211,0,0.0,0.0,0.0,0.0
7.800000000000001,0.0,2.6854078233652015,6.248313441229047,0,0,0,0.0,3.5629056178638443,0,0,1.1079501232021456,0.0,0.0,0.0,2.009107327308853,0.8863600985617169,0,0.0,0.0,0.0,0.0
7.9,0.0,2.6585537451315493,6.185830306816756,0,0,0,0.0,3.527276561685206,0,0,1.096870621970124,0.0,0.0,0.0,1.9890162540357645,0.8774964975760997,0,0.0,0.0,0.0,0.0
8.0,0.0,2.631968207680234,6.123972003748588,0,0,0,0.0,3.492003796068354,0,0,1.0859019157504228,0.0,0.0,0.0,1.969126091495407,0.8687215326003387,0,0.0,0.0,0.0,0.0
8.1,0.0,2.6056485256034314,6.062732283711102,0,0,0,0.0,3.4570837581076703,0,0,1.0750428965929186,0.0,0.0,0.0,1.949434830580453,0.8600343172743353,0,0.0,0.0,0.0,0.0
8.200000000000001,0.0,2.579592040347397,6.002104960873991,0,0,0,0.0,3.4225129205265934,0,0,1.0642924676269894,0.0,0.0,0.0,1.9299404822746484,0.8514339741015919,0,0.0,0.0,0.0,0.0
8.3,0.0,2.553796119943923,5.942083911265251,0,0,0,0.0,3.3882877913213276,0,0,1.0536495429507196,0.0,0.0,0.0,1.910641077451902,0.842919634360576,0,0.0,0.0,0.0,0.0
8.4,0.0,2.528258158744484,5.8826630721525985,0,0,0,0.0,3.354404913408114,0,0,1.0431130475212123,0.0,0.0,0.0,1.891534666677383,0.8344904380169703,0,0.0,0.0,0.0,0.0
8.5,0.0,2.502975577157039,5.823836441431072,0,0,0,0.0,3.320860864274033,0,0,1.0326819170460002,0.0,0.0,0.0,1.8726193200106092,0.8261455336368007,0,0.0,0.0,0.0,0.0
8.6,0.0,2.4779458213854686,5.765598077016762,0,0,0,0.0,3.2876522556312926,0,0,1.0223550978755402,0.0,0.0,0.0,1.853893126810503,0.8178840783004326,0,0.0,0.0,0.0,0.0
8.700000000000001,0.0,2.453166363171614,5.707942096246594,0,0,0,0.0,3.25477573307498,0,0,1.0121315468967849,0.0,0.0,0.0,1.835354195542398,0.8097052375174283,0,0.0,0.0,0.0,0.0
8.8,0.0,2.4286346995398977,5.650862675284128,0,0,0,0.0,3.22222797574423,0,0,1.002010231427817,0.0,0.0,0.0,1.817000653586974,0.801608185142254,0,0.0,0.0,0.0,0.0
8.9,0.0,2.4043483525444986,5.594354048531287,0,0,0,0.0,3.1900056959867875,0,0,0.9919901291135388,0.0,0.0,0.0,1.7988306470511042,0.7935921032908314,0,0.0,0.0,0.0,0.0
9.0,0.0,2.380304869019054,5.538410508045974,0,0,0,0.0,3.1581056390269198,0,0,0.9820702278224034,0.0,0.0,0.0,1.780842340580593,0.7856561822579231,0,0.0,0.0,0.0,0.0
9.1,0.0,2.3565018203288632,5.483026402965514,0,0,0,0.0,3.1265245826366503,0,0,0.9722495255441793,0.0,0.0,0.0,1.763033917174787,0.7777996204353439,0,0.0,0.0,0.0,0.0
9.200000000000001,0.0,2.3329368021255745,5.428196138935859,0,0,0,0.0,3.0952593368102836,0,0,0.9625270302887375,0.0,0.0,0.0,1.7454035780030392,0.7700216242309904,0,0.0,0.0,0.0,0.0
9.3,0.0,2.309607434104319,5.3739141775465,0,0,0,0.0,3.064306743442181,0,0,0.9529017599858501,0.0,0.0,0.0,1.727949542223009,0.7623214079886805,0,0.0,0.0,0.0,0.0
9.4,0.0,2.2865113597632756,5.320175035771035,0,0,0,0.0,3.033663676007759,0,0,0.9433727423859917,0.0,0.0,0.0,1.7106700468007787,0.7546981939087937,0,0.0,0.0,0.0,0.0
9.5,0.0,2.2636462461656426,5.266973285413324,0,0,0,0.0,3.003327039247681,0,0,0.9339390149621317,0.0,0.0,0.0,1.6935633463327708,0.7471512119697057,0,0.0,0.0,0.0,0.0
9.600000000000001,0.0,2.241009783703986,5.2143035525591905,0,0,0,0.0,2.9732937688552044,0,0,0.9245996248125103,0.0,0.0,0.0,1.6766277128694431,0.7396796998500086,0,0.0,0.0,0.0,0.0
9.700000000000001,0.0,2.218599685866946,5.162160517033598,0,0,0,0.0,2.943560831166652,0,0,0.9153536285643852,0.0,0.0,0.0,1.6598614357407486,0.7322829028515085,0,0.0,0.0,0.0,0.0
9.8,0.0,2.196413689008277,5.110538911863262,0,0,0,0.0,2.9141252228549854,0,0,0.9062000922787413,0.0,0.0,0.0,1.6432628213833411,0.7249600738229934,0,0.0,0.0,0.0,0.0
9.9,0.0,2.174449552118194,5.059433522744629,0,0,0,0.0,2.8849839706264357,0,0,0.8971380913559539,0.0,0.0,0.0,1.6268301931695077,0.7177104730847635,0,0.0,0.0,0.0,0.0
10.0,0.0,2.152705056597012,5.008839187517183,0,0,0,0.0,2.8561341309201715,0,0,0.8881667104423944,0.0,0.0,0.0,1.6105618912378126,0.7105333683539159,0,0.0,0.0,0.0,0.0
10.100000000000001,0.0,2.131178006031042,4.958750795642011,0,0,0,0.0,2.82757278961097,0,0,0.8792850433379704,0.0,0.0,0.0,1.5944562723254345,0.7034280346703767,0,0.0,0.0,0.0,0.0
10.200000000000001,0.0,2.1098662259707317,4.909163287685591,0,0,0,0.0,2.79929706171486,0,0,0.8704921929045907,0.0,0.0,0.0,1.5785117096021801,0.696393754323673,0,0.0,0.0,0.0,0.0
10.3,0.0,2.0887675637110243,4.860071654808736,0,0,0,0.0,2.7713040910977114,0,0,0.8617872709755448,0.0,0.0,0.0,1.5627265925061584,0.6894298167804362,0,0.0,0.0,0.0,0.0
10.4,0.0,2.067879888073914,4.811470938260649,0,0,0,0.0,2.743591050186734,0,0,0.8531693982657893,0.0,0.0,0.0,1.5470993265810968,0.6825355186126318,0,0.0,0.0,0.0,0.0
10.5,0.0,2.047201089193175,4.763356228878042,0,0,0,0.0,2.716155139684867,0,0,0.8446377042831315,0.0,0.0,0.0,1.5316283333152858,0.6757101634265055,0,0.0,0.0,0.0,0.0
