combination,molecule_id,score,final_concentration,rank_metric
enterococcus + helicobacter,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
enterococcus + legionella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
flu_virus + salmonella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
helicobacter + legionella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + bacillus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + mycobacterium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + bordetella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + enterococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + salmonella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + staphylococcus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + vibrio,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + flu_virus,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + helicobacter,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + clostridium,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + bacteroides,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
ecoli + legionella,polysaccharide_lps,73.5,1.8423267410990651,135.41101547078128
yeast + flu_virus,CO2,48.0,2.3757611104315712,114.03653330071542
flu_virus + bifidobacterium,CO2,48.0,2.0619760491972263,98.97485036146686
yeast + bifidobacterium,CO2,48.0,2.0619760491972263,98.97485036146686
yeast + clostridium,CO2,48.0,1.915016301237971,91.92078245942261
yeast + staphylococcus,CO2,48.0,1.915016301237971,91.92078245942261
yeast + faecalibacterium,CO2,48.0,1.915016301237971,91.92078245942261
yeast + bacillus,CO2,48.0,1.915016301237971,91.92078245942261
yeast + bordetella,CO2,48.0,1.915016301237971,91.92078245942261
yeast + enterococcus,CO2,48.0,1.915016301237971,91.92078245942261
yeast + vibrio,CO2,48.0,1.915016301237971,91.92078245942261
yeast + bacteroides,CO2,48.0,1.915016301237971,91.92078245942261
yeast + salmonella,CO2,48.0,1.915016301237971,91.92078245942261
yeast + legionella,CO2,48.0,1.915016301237971,91.92078245942261
yeast + mycobacterium,CO2,48.0,1.915016301237971,91.92078245942261
ecoli + yeast,CO2,48.0,1.915016301237971,91.92078245942261
yeast + helicobacter,CO2,48.0,1.915016301237971,91.92078245942261
flu_virus + streptococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + helicobacter,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + enterococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + staphylococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
clostridium + streptococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
ecoli + streptococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + vibrio,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
salmonella + streptococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + faecalibacterium,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + legionella,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + mycobacterium,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
streptococcus + bordetella,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
bacteroides + streptococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
bacillus + streptococcus,polysaccharide_lps,73.5,1.0394143665763025,76.39695594335824
salmonella + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
ecoli + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
pseudomonas + legionella,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
bacillus + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
pseudomonas + helicobacter,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
staphylococcus + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
clostridium + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
bacteroides + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
pseudomonas + faecalibacterium,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
flu_virus + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
enterococcus + pseudomonas,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
pseudomonas + vibrio,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
pseudomonas + mycobacterium,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
pseudomonas + bordetella,polysaccharide_lps,73.5,1.021690769421694,75.0942715524945
klebsiella + mycobacterium,polysaccharide_lps,73.5,0.96323597012228,70.79784380398758
staphylococcus + klebsiella,polysaccharide_lps,73.5,0.96323597012228,70.79784380398758
bacteroides + klebsiella,polysaccharide_lps,73.5,0.96323597012228,70.79784380398758
klebsiella + faecalibacterium,polysaccharide_lps,73.5,0.96323597012228,70.79784380398758
