glucose_mM,ratio_salmonella_to_clostridium,target_yield_mM,toxicity_score,overall_score,adjuvant_polysaccharide_lps,adjuvant_mannan_polysaccharide,toxic_ethanol,toxic_lactate,toxic_butyrate,overall_rank
100.0,20:1,1.0102139397338985,0.0,1.0102139397338985,1.0102139397338985,0.0,0.0,0.0,0.0,1
100.0,10:1,0.8900242461112803,0.0,0.8900242461112803,0.8900242461112803,0.0,0.0,0.0,0.0,2
100.0,5:1,0.872674163419637,0.0,0.872674163419637,0.872674163419637,0.0,0.0,0.0,0.0,3
100.0,1:1,0.8113207250262738,0.0,0.8113207250262738,0.8113207250262738,0.0,0.0,0.0,0.0,4
50.0,20:1,0.6597667745799533,0.0,0.6597667745799533,0.6597667745799533,0.0,0.0,0.0,0.0,5
50.0,10:1,0.5206184888752049,0.0,0.5206184888752049,0.5206184888752049,0.0,0.0,0.0,0.0,6
50.0,5:1,0.4686278108227723,0.0,0.4686278108227723,0.4686278108227723,0.0,0.0,0.0,0.0,7
50.0,1:1,0.4168161441217028,0.0,0.4168161441217028,0.4168161441217028,0.0,0.0,0.0,0.0,8
20.0,20:1,0.3307825001965114,0.0,0.3307825001965114,0.3307825001965114,0.0,0.0,0.0,0.0,9
10.0,20:1,0.3244212982696551,0.0,0.3244212982696551,0.3244212982696551,0.0,0.0,0.0,0.0,10
20.0,5:1,0.1873285843125064,0.0,0.1873285843125064,0.1873285843125064,0.0,0.0,0.0,0.0,11
20.0,1:1,0.17472335881092496,0.0,0.17472335881092496,0.17472335881092496,0.0,0.0,0.0,0.0,12
20.0,10:1,0.17326702391245796,0.0,0.17326702391245796,0.17326702391245796,0.0,0.0,0.0,0.0,13
10.0,10:1,0.16993496576029546,0.0,0.16993496576029546,0.16993496576029546,0.0,0.0,0.0,0.0,14
10.0,5:1,0.09269179950561564,0.0,0.09269179950561564,0.09269179950561564,0.0,0.0,0.0,0.0,15
10.0,1:1,0.08931118668261476,0.0,0.08931118668261476,0.08931118668261476,0.0,0.0,0.0,0.0,16
