combination,microbes,glucose_mM,ratio,peak_lps_mM,peak_time_h,final_lps_mM,toxicity_max_mM,toxicity_penalty,overall_rank
clostridium + helicobacter,clostridium + helicobacter,20,1:1,20.47711317354885,0.5,0.17472335881092496,0.0,0.0,0.16781979901756114
clostridium + vibrio,clostridium + vibrio,20,1:1,20.47711317354885,0.5,0.17472335881092496,0.0,0.0,0.16781979901756114
salmonella + clostridium,salmonella + clostridium,10,1:5,11.423076923076923,0.0,0.09269179950561564,0.0,0.0,0.09361761382796885
staphylococcus + bordetella,staphylococcus + bordetella,10,1:5,11.423076923076923,0.0,0.09269179950561564,0.0,0.0,0.09361761382796885
clostridium + legionella,clostridium + legionella,10,1:5,11.423076923076923,0.0,0.09269179950561564,0.0,0.0,0.09361761382796885
clostridium + helicobacter,clostridium + helicobacter,10,1:5,11.423076923076923,0.0,0.09269179950561564,0.0,0.0,0.09361761382796885
clostridium + vibrio,clostridium + vibrio,10,1:5,11.423076923076923,0.0,0.09269179950561564,0.0,0.0,0.09361761382796885
salmonella + clostridium,salmonella + clostridium,10,1:1,10.787431149725753,0.2,0.08931118668261476,0.0,0.0,0.08840819075030815
staphylococcus + bordetella,staphylococcus + bordetella,10,1:1,10.787431149725753,0.2,0.08931118668261476,0.0,0.0,0.08840819075030815
clostridium + legionella,clostridium + legionella,10,1:1,10.787431149725753,0.2,0.08931118668261476,0.0,0.0,0.08840819075030815
clostridium + helicobacter,clostridium + helicobacter,10,1:1,10.787431149725753,0.2,0.08931118668261476,0.0,0.0,0.08840819075030815
clostridium + vibrio,clostridium + vibrio,10,1:1,10.787431149725753,0.2,0.08931118668261476,0.0,0.0,0.08840819075030815
