glucose_mM,peak_mM,final_mM,integrated_0_2h_mM_h
10.0,12.605042016806724,0.1022827768078266,0.0
20.0,12.729844413012732,0.10329547756830022,0.0
50.0,12.80591918042117,0.10391278121910677,0.0
100.0,12.83147989734816,0.10412019196006282,0.0
